number,value,datetime_start,datetime_complete,duration,params_T_max,params_clip_epsilon,params_entropy_coef,params_eta_min,params_gae_lambda,params_gamma,params_lr,params_scheduler,params_value_loss_coef,state
64,117.39047495524089,2025-03-14 02:20:30.459704,2025-03-14 02:33:08.714459,0 days 00:12:38.254755,49,0.25656265432544395,0.0006132278713724668,1.1423209598429396e-06,0.9538034078442031,0.9803368566882732,0.0009664006192593939,step,0.8378672510334321,COMPLETE
65,53.885714848836265,2025-03-14 02:34:19.369312,2025-03-14 02:47:07.383759,0 days 00:12:48.014447,50,0.24337173528073683,0.00034661606140174665,1.7377894254554051e-06,0.9416615556516887,0.9839134334975097,0.0002602444175052048,step,0.6719490525101134,COMPLETE
66,123.38889058430989,2025-03-14 02:34:23.802412,2025-03-14 02:47:44.566689,0 days 00:13:20.764277,50,0.29400734076178353,0.0017360797758123445,2.7989547770146543e-07,0.9405755064812116,0.9715502418787697,0.0008985517648974316,step,0.5191940258765311,COMPLETE
67,,2025-03-14 02:34:26.414626,2025-03-14 02:47:47.427138,0 days 00:13:21.012512,49,0.24473750174178213,0.000657289414161394,1.5422988641110557e-06,0.9674613924402025,0.9922041317225492,0.0004676161792500898,cosine,0.8666395694279093,FAIL
68,,2025-03-14 02:34:26.429504,2025-03-14 02:35:37.380759,0 days 00:01:10.951255,50,0.21481712207235285,0.00030286909853719115,1.7197096375813028e-06,0.9451678418371748,0.9753802255637914,0.0008111406659515285,cosine,0.8988535952873246,FAIL
69,,2025-03-14 02:36:10.579237,2025-03-14 02:47:48.026467,0 days 00:11:37.447230,50,0.2559171769562969,0.001145132829602947,9.855328710439774e-07,0.9645686846293478,0.9818025207245829,0.0009323816828034882,cosine,0.981179798320121,FAIL
70,118.10714213053386,2025-03-14 02:48:14.097661,2025-03-14 03:00:45.900467,0 days 00:12:31.802806,47,0.2505393926228305,0.0010009106064749777,1.08563337072246e-07,0.938705688974362,0.9748388023354195,0.0006190972760022867,step,0.3309175595472435,COMPLETE
71,,2025-03-14 02:49:08.312968,2025-03-14 03:02:14.671518,0 days 00:13:06.358550,48,0.2945852649538363,0.005259331563218624,8.578940461959493e-07,0.9670810548156734,0.9780337643292635,0.0007884416614850466,step,0.7514645567088095,FAIL
72,124.91666920979817,2025-03-14 02:49:08.312575,2025-03-14 03:02:11.401658,0 days 00:13:03.089083,47,0.2733245912741534,0.0011479637577253273,4.7219816094298114e-07,0.9382341164653388,0.9622988772718166,0.00032875187197765795,step,0.3618360448758635,COMPLETE
73,,2025-03-14 02:49:08.322065,2025-03-14 02:53:31.070126,0 days 00:04:22.748061,50,0.26588004626471345,0.00035294175333441943,2.3601345500493955e-07,0.9421592305112243,0.9539685678643749,0.0007048337058953094,step,0.40816046184541954,FAIL
74,33.046295166015625,2025-03-14 03:01:56.788843,2025-03-14 03:15:03.073415,0 days 00:13:06.284572,47,0.20438083889388817,0.006725758464874219,1.3509997053356306e-07,0.9396189633205713,0.9733007272179006,0.0006926981760825407,step,0.25696213637791654,COMPLETE
75,118.80952453613281,2025-03-14 03:01:59.393929,2025-03-14 03:15:43.618909,0 days 00:13:44.224980,46,0.2550600118393762,0.0011555732349746448,1.5489433236672347e-07,0.9463351957938243,0.9801488770120115,0.00037814542178430044,step,0.386198185534566,COMPLETE
76,76.97142664591472,2025-03-14 03:03:24.812344,2025-03-14 03:16:14.796491,0 days 00:12:49.984147,41,0.2670541703986511,0.0009520313636712562,1.7371718561208732e-07,0.9410749233618968,0.9686720015303465,0.000394353209425877,step,0.3297796915283259,COMPLETE
77,,2025-03-14 03:03:27.180069,2025-03-14 03:16:18.029614,0 days 00:12:50.849545,48,0.297016518037562,0.0007348892288607634,1.3360754045156463e-07,0.9521974923882732,0.9642868884552847,0.00022593774670986292,step,0.317133331776012,FAIL
78,,2025-03-14 03:15:43.218820,2025-03-14 03:16:18.514727,0 days 00:00:35.295907,49,0.29416246760280623,0.00022285824042867516,1.778976908125472e-07,0.9571587536226343,0.9600155084211602,0.00047311992034506257,step,0.36736034506397236,FAIL
79,103.73611195882161,2025-03-14 03:17:12.381287,2025-03-14 03:30:06.818294,0 days 00:12:54.437007,37,0.2595457394922515,0.0007401627213954604,1.2455446818041145e-07,0.9118598155533186,0.9897258031402068,0.00020282490658955004,step,0.4558518518484731,COMPLETE
80,53.48412577311198,2025-03-14 03:17:38.001008,2025-03-14 03:31:01.931672,0 days 00:13:23.930664,38,0.2100947341370678,0.0009373875258940915,1.4366339832728283e-07,0.9667807379987304,0.9906647110391126,0.00017389966386438177,step,0.29163049009029013,COMPLETE
81,,2025-03-14 03:17:38.693471,2025-03-14 03:24:01.413181,0 days 00:06:22.719710,50,0.1980111395088739,0.0004405215201798369,1.0300879479002886e-07,0.9368407561012747,0.979136684217323,0.0005162106862308981,step,0.5709383528012612,FAIL
82,,2025-03-14 03:17:41.941058,2025-03-14 03:22:49.622153,0 days 00:05:07.681095,50,0.28011967737230076,0.0015029895573659495,1.3369311003883742e-07,0.9172938123973934,0.9701566677531737,0.0007320018099230332,step,0.7164066953060154,FAIL
83,,2025-03-14 03:23:21.404498,2025-03-14 03:31:04.930694,0 days 00:07:43.526196,47,0.29518294777798904,0.01696855199899305,7.263725343312654e-07,0.9529660439457895,0.9604569366255851,0.0007365065198248139,step,0.5029122584075116,FAIL
84,,2025-03-14 03:24:33.003439,2025-03-14 03:31:05.252572,0 days 00:06:32.249133,50,0.26611138762621267,0.0036366703102480957,1.608346482019922e-07,0.9415855794809216,0.989479463368956,0.0002785438853340532,step,0.4520447848148704,FAIL
85,70.7055549621582,2025-03-14 03:31:17.064251,2025-03-14 03:43:56.722128,0 days 00:12:39.657877,48,0.2889939119028699,0.0025139275396971073,1.878195023904653e-07,0.9455607535409558,0.9810775572816105,0.000870796756918979,step,0.7710870504210877,COMPLETE
86,94.75,2025-03-14 03:32:23.272616,2025-03-14 03:45:37.118838,0 days 00:13:13.846222,48,0.2825932999126083,0.00043703612651342806,2.643939567497298e-07,0.9394453768992812,0.9830135570661331,0.0005521644448864908,cosine,0.34330245993260755,COMPLETE
87,,2025-03-14 03:32:23.273149,2025-03-14 03:45:40.496140,0 days 00:13:17.222991,43,0.27440485016734106,0.0005945728331045723,2.2327540592698273e-07,0.9575579300129847,0.9789761277405942,0.0007296397451088582,cosine,0.4503429788174634,FAIL
88,,2025-03-14 03:32:23.861363,2025-03-14 03:45:40.815997,0 days 00:13:16.954634,49,0.265860619007575,0.003334640746766394,1.3818126231511227e-06,0.9630183158204084,0.997551092598439,0.0009331317625960265,cosine,0.8929705971738586,FAIL
89,127.83333333333333,2025-03-14 03:45:15.234353,2025-03-14 03:57:52.681186,0 days 00:12:37.446833,42,0.2922501321634734,0.002844668449179132,1.4150850796519661e-06,0.9620433979461331,0.9925934498951534,0.0004729481181854968,cosine,0.7493766069716047,COMPLETE
90,,2025-03-14 03:46:50.911727,2025-03-14 04:00:04.988650,0 days 00:13:14.076923,50,0.21280598767368117,0.000576454307105607,7.399309358018333e-07,0.9475622514214342,0.9835495973059518,0.00037579518732405395,cosine,0.9779136685850778,FAIL
91,,2025-03-14 03:46:53.575091,2025-03-14 03:58:39.142939,0 days 00:11:45.567848,42,0.24566384169414757,0.0003203207336507112,4.012947444493827e-06,0.9506294813249171,0.9897211466429902,0.0009672170820317582,cosine,0.8166183159738192,FAIL
92,64.82222366333008,2025-03-14 03:46:53.911101,2025-03-14 04:00:02.442223,0 days 00:13:08.531122,45,0.23567549810836128,0.0003849432180395667,3.867123344350875e-06,0.9644434751694021,0.9718486049699461,0.0009960787942256016,step,0.9462724774641801,COMPLETE
93,97.51851908365886,2025-03-14 03:58:59.399302,2025-03-14 04:11:56.691903,0 days 00:12:57.292601,36,0.24443909686991633,0.004945641645272642,7.062893928395986e-07,0.9738578965723229,0.9899773157059878,0.00037110387101275196,cosine,0.7218163592527496,COMPLETE
94,,2025-03-14 03:59:15.432224,2025-03-14 04:00:05.852201,0 days 00:00:50.419977,45,0.23796216646388554,0.002262346898132018,1.3676301177109856e-06,0.9607074096289533,0.9978590357502084,0.00048751898918744625,cosine,0.7318672022475097,FAIL
95,,2025-03-14 04:01:18.139942,2025-03-14 04:14:43.703171,0 days 00:13:25.563229,44,0.2223998109269307,0.0020937551264379405,1.368867102999291e-06,0.9546961351368437,0.9872820985806045,0.0009575498563865667,cosine,0.7429114774120507,FAIL
96,,2025-03-14 04:01:20.827734,2025-03-14 04:14:43.704853,0 days 00:13:22.877119,44,0.22052147996626087,0.00015668336314911851,1.4544000745558614e-06,0.9428024615051113,0.9651977259604793,0.00018422510275199899,step,0.14407882570663916,FAIL
97,113.77777862548828,2025-03-14 04:01:20.829230,2025-03-14 04:14:40.801969,0 days 00:13:19.972739,40,0.2987761978141246,0.003452965143295435,1.2995705307171312e-06,0.9539974608851894,0.9921609871425829,0.0004701078988601517,cosine,0.8272662785808883,COMPLETE
98,101.01719665527344,2025-03-14 04:13:05.807331,2025-03-14 04:25:49.502025,0 days 00:12:43.694694,47,0.2635902714014462,0.005950417045868329,1.224034072364368e-07,0.9508109800653268,0.9556629751562703,0.0008600375752131059,cosine,0.444493690337216,COMPLETE
99,,2025-03-14 04:15:49.941387,2025-03-14 04:29:06.552233,0 days 00:13:16.610846,47,0.2710928433330654,0.001183640125234463,8.084282337173599e-07,0.9282973235084518,0.951099323347231,0.00016406603198794922,cosine,0.2505723988006515,FAIL
100,120.58333333333333,2025-03-14 04:15:53.142045,2025-03-14 04:29:02.885485,0 days 00:13:09.743440,50,0.1749548045072019,0.003720380515770755,1.2469741595196207e-06,0.948771151880843,0.9845843104215032,0.00040943229505368753,cosine,0.9986061703772484,COMPLETE
101,,2025-03-14 04:15:55.779738,2025-03-14 04:29:06.871809,0 days 00:13:11.092071,45,0.29373827604529645,0.00016602140176466697,1.5800812593738871e-06,0.9271038378538456,0.9692015760717243,0.0004224018555082595,step,0.20017757168492425,FAIL
102,81.41071446736653,2025-03-14 04:27:01.702901,2025-03-14 04:39:52.218243,0 days 00:12:50.515342,43,0.27391823577946683,0.008351003253167342,7.63590337793229e-07,0.9542659315131252,0.9649958823352062,0.0003036188064430367,step,0.6061446619405491,COMPLETE
103,,2025-03-14 04:30:12.691404,2025-03-14 04:43:18.922468,0 days 00:13:06.231064,47,0.1807742956444594,0.004009458758330335,2.4020454528219525e-06,0.9558903528047477,0.9884761021689528,0.00010657501680342875,cosine,0.9115248263766482,FAIL
104,37.92698415120443,2025-03-14 04:30:13.006781,2025-03-14 04:43:16.404845,0 days 00:13:03.398064,38,0.1319390452616481,0.003897345362330288,5.769134033068806e-07,0.956285382531638,0.9794293037027304,0.0007295019406599452,cosine,0.8609884014122134,COMPLETE
105,,2025-03-14 11:48:57.957102,2025-03-14 11:49:22.572491,0 days 00:00:24.615389,48,0.28488324960799527,0.0005965528661195453,8.7736111496419e-07,0.9205596923579336,0.9547017874212904,5.445513110366995e-05,step,0.27875215213813553,FAIL
106,,2025-03-14 11:48:57.961779,2025-03-14 11:49:22.573519,0 days 00:00:24.611740,43,0.22036605904813023,0.0012129978930945373,1.1308427705573976e-06,0.9445793956282107,0.9855302124367709,0.00026353224812259525,cosine,0.9281871256459111,FAIL
107,,2025-03-14 11:48:57.960857,2025-03-14 11:49:22.573084,0 days 00:00:24.612227,49,0.2801730107677952,0.0012566593094746872,2.303252396601295e-07,0.9257527046453288,0.9589671812015478,0.00037088596106937187,step,0.4947841024233243,FAIL
108,,2025-03-14 11:48:57.973070,2025-03-14 11:53:51.535488,0 days 00:04:53.562418,48,0.2427325500270867,0.0009105388392752674,1.3796092873494818e-06,0.9210039750615363,0.9631993473796656,0.0006321814266915662,step,0.49491186788269514,FAIL
109,63.791666666666664,2025-03-14 11:49:49.475311,2025-03-14 12:04:09.504675,0 days 00:14:20.029364,46,0.23575986481817066,0.011831802751503466,1.3149328997311357e-06,0.9224085263262867,0.9905662181336514,0.0005349114774221605,cosine,0.9871185271509467,COMPLETE
110,,2025-03-14 11:49:52.748033,2025-03-14 12:04:19.123247,0 days 00:14:26.375214,42,0.2401433872198559,0.0009506405958181717,8.968498225757542e-07,0.9666084727265112,0.9694770617295096,0.00010230170259987659,step,0.12072491503143273,FAIL
111,,2025-03-14 11:49:52.763043,2025-03-14 11:54:07.937801,0 days 00:04:15.174758,46,0.19420945942691567,0.001158804640556521,1.028616821302969e-06,0.9310374359902026,0.9912965773095961,0.00012343234271066262,cosine,0.9872899483831794,FAIL
